Team,Medal
Pakistan,Gold
Hungary,Gold
Hungary,Gold
Hungary,Gold
Hungary,Silver
Argentina,Gold
Australia,Silver
Yugoslavia,Bronze
United States-2,Silver
United States,Bronze
United States-1,Silver
Norway,Silver
Australia,Bronze
Great Britain,Silver
Australia,Bronze
United States,Bronze
Australia,Gold
South Africa,Bronze
Spain,Gold
Puerto Rico,Bronze
France,Gold
Germany,Silver
Germany,Gold
Ukraine,Bronze
Denmark,Gold
Denmark,Bronze
Ukraine,Bronze
Ukraine,Silver
Switzerland,Gold
Switzerland,Gold
Switzerland,Silver
Australia,Bronze
United States,Silver
United States,Silver
Soviet Union,Bronze
Unified Team,Gold
Kazakhstan,Silver
Kazakhstan,Gold
Kazakhstan,Gold
Russia,Gold
Russia,Bronze
Russia,Bronze
Ukraine,Gold
Ukraine,Gold
Ukraine,Gold
Ukraine,Gold
Ukraine,Bronze
Soviet Union,Gold
Soviet Union,Silver
Russia,Gold
Ukraine,Silver
Ukraine,Silver
Ukraine,Silver
Romania,Bronze
Soviet Union,Bronze
Soviet Union,Silver
Soviet Union,Silver
Soviet Union,Bronze
Russia,Silver
Russia,Bronze
Soviet Union,Gold
Soviet Union,Silver
United States,Bronze
Ireland,Gold
United States,Silver
Germany,Bronze
Hungary,Silver
Switzerland-2,Silver
Switzerland,Silver
Italy,Bronze
Italy,Silver
Italy,Bronze
Switzerland-2,Silver
Switzerland-1,Silver
Switzerland-1,Silver
Switzerland-1,Gold
Switzerland-1,Bronze
Switzerland-1,Bronze
United States,Silver
United States,Gold
Austria,Gold
Belgium,Silver
Czechoslovakia,Bronze
Austria,Gold
Netherlands,Bronze
Portugal,Gold
Brazil,Silver
Brazil,Gold
Czechoslovakia,Silver
Czechoslovakia,Bronze
Hungary,Gold
Hungary,Bronze
Hungary,Gold
Hungary,Bronze
Hungary,Gold
Hungary,Bronze
Hungary,Bronze
Hungary,Bronze
Ukraine,Gold
Ukraine,Gold
Russia,Bronze
Switzerland,Bronze
Switzerland,Gold
Yugoslavia,Gold
Yugoslavia,Silver
Germany,Bronze
Austria,Silver
Estonia,Silver
Sweden,Bronze
Zimbabwe,Gold
Germany,Silver
Philippines,Gold
Puerto Rico,Gold
Canada,Gold
Mauritius,Bronze
Brazil,Gold
Germany,Gold
United States,Silver
United States,Silver
United States,Gold
United States,Bronze
United States,Gold
United States,Gold
United States,Gold
United States,Silver
United States,Gold
United States,Gold
Puerto Rico,Silver
Portugal,Gold
Grenada,Gold
Angola,Gold
Mexico,Silver
France,Bronze
Argentina,Bronze
Hungary,Bronze
Hungary,Bronze
Hungary,Gold
Hungary,Bronze
